"Run number", "Test number", "Diameter [in]", "Time after valve setting [min]", "Temperature [Â°F]", "Average pressure in test section [mmHg]", "Pressure in test section at impact tube [mmHg]", "Average velocity [ft/s]", "Length [in]", "Pressure drop [inH2O]", "Corrected head [inH2O]", "Maximum velocity (ft/s)", "Reynolds number", "Fanning friction factor", "Ratio of average-to-maximum velocity", "Outlier", "Profile data",
1,                        1,           0.500,                               "",               70.0,                                     746.2,                                               "",                     5.476,         48.06,                  0.0294,                       "",                        "",            1365.0,                  0.011560,                                     "",         0,              0,
1,                        2,           0.500,                               "",               70.0,                                     746.3,                                               "",                     5.476,        120.34,                  0.0742,                       "",                        "",            1365.0,                  0.011660,                                     "",         0,              0,
1,                        3,           0.500,                               "",               70.0,                                     746.3,                                               "",                     5.476,        168.37,                  0.1028,                       "",                        "",            1365.0,                  0.011540,                                     "",         0,              0,
1,                        4,           0.500,                               "",               70.0,                                     746.3,                                               "",                     5.476,        204.37,                  0.1248,                       "",                        "",            1365.0,                  0.011540,                                     "",         0,              0,
1,                        5,           0.500,                               "",               70.0,                                     746.2,                                               "",                     5.476,         48.06,                  0.0292,                       "",                        "",            1365.0,                  0.011490,                                     "",         0,              0,
1,                        6,           0.500,                               "",               70.0,                                     746.2,                                               "",                     5.476,         72.28,                  0.0438,                       "",                        "",            1365.0,                  0.011460,                                     "",         0,              0,
1,                        7,           0.500,                               "",               70.0,                                     746.3,                                               "",                     5.476,        120.31,                  0.0730,                       "",                        "",            1365.0,                  0.011480,                                     "",         0,              0,
1,                        8,           0.500,                               "",               70.0,                                     746.3,                                               "",                     5.476,        156.31,                  0.0950,                       "",                        "",            1365.0,                  0.011500,                                     "",         0,              0,
3,                        1,           0.500,                               "",               69.0,                                     743.7,                                               "",                     3.927,        204.37,                  0.0913,                       "",                        "",             978.0,                  0.016450,                                     "",         0,              0,
3,                        2,           0.500,                               "",               69.0,                                     743.7,                                               "",                     3.927,        168.37,                  0.0752,                       "",                        "",             978.0,                  0.016450,                                     "",         0,              0,
3,                        3,           0.500,                               "",               69.0,                                     743.7,                                               "",                     3.927,        120.34,                  0.0542,                       "",                        "",             978.0,                  0.016590,                                     "",         0,              0,
3,                        4,           0.500,                               "",               69.0,                                     743.6,                                               "",                     3.927,         48.06,                  0.0215,                       "",                        "",             978.0,                  0.016470,                                     "",         0,              0,
3,                        5,           0.500,                               "",               69.0,                                     743.6,                                               "",                     3.927,         72.28,                  0.0324,                       "",                        "",             978.0,                  0.016510,                                     "",         0,              0,
3,                        6,           0.500,                               "",               69.0,                                     743.6,                                               "",                     3.927,        120.31,                  0.0535,                       "",                        "",             978.0,                  0.016280,                                     "",         0,              0,
3,                        7,           0.500,                               "",               69.0,                                     743.7,                                               "",                     3.927,        156.31,                  0.0701,                       "",                        "",             978.0,                  0.016510,                                     "",         0,              0,
4,                        1,           0.500,                              5.0,               70.5,                                     743.5,                                               "",                     3.389,        204.37,                  0.0785,                       "",                        "",             840.0,                  0.019040,                                     "",         0,              0,
4,                        2,           0.500,                              5.0,               70.5,                                     743.5,                                               "",                     4.350,        204.37,                  0.0996,                       "",                        "",            1078.0,                  0.014670,                                     "",         0,              0,
4,                        3,           0.500,                              5.0,               71.0,                                     743.6,                                               "",                     5.189,        204.37,                  0.1201,                       "",                        "",            1284.0,                  0.012440,                                     "",         0,              0,
4,                        4,           0.500,                              5.0,               71.0,                                     743.7,                                               "",                     5.911,        204.37,                  0.1365,                       "",                        "",            1463.0,                  0.010900,                                     "",         0,              0,
4,                        5,           0.500,                              5.0,               71.0,                                     743.9,                                               "",                     6.707,        204.37,                  0.1561,                       "",                        "",            1660.0,                  0.009680,                                     "",         0,              0,
4,                        6,           0.500,                              5.0,               71.0,                                     744.1,                                               "",                     7.553,        204.37,                  0.1789,                       "",                        "",            1870.0,                  0.008752,                                     "",         0,              0,
4,                        7,           0.500,                              5.0,               71.0,                                     744.2,                                               "",                     8.374,        204.37,                  0.2072,                       "",                        "",            2074.0,                  0.008233,                                     "",         0,              0,
4,                        8,           0.500,                              5.0,               71.0,                                     744.6,                                               "",                     9.382,        204.37,                  0.2828,                       "",                        "",            2325.0,                  0.008947,                                     "",         0,              0,
4,                        9,           0.500,                              5.0,               71.0,                                     744.9,                                               "",                    10.390,        204.37,                  0.4010,                       "",                        "",            2575.0,                  0.010350,                                     "",         0,              0,
4,                       10,           0.500,                              5.0,               71.0,                                     745.5,                                               "",                    11.570,        204.37,                  0.4970,                       "",                        "",            2871.0,                  0.010330,                                     "",         0,              0,
4,                       11,           0.500,                              5.0,               71.0,                                     745.8,                                               "",                    12.410,        204.37,                  0.6750,                       "",                        "",            3078.0,                  0.010260,                                     "",         0,              0,
4,                       12,           0.500,                              5.0,               71.0,                                     746.2,                                               "",                    13.210,        204.37,                  0.6296,                       "",                        "",            3283.0,                  0.010010,                                     "",         0,              0,
4,                       13,           0.500,                              5.0,               71.5,                                     745.5,                                               "",                    13.140,        204.37,                  0.6424,                       "",                        "",            3256.0,                  0.010350,                                     "",         0,              0,
4,                       14,           0.500,                              5.0,               71.5,                                     746.3,                                               "",                    15.660,        168.37,                  0.7285,                       "",                        "",            3884.0,                  0.010020,                                     "",         0,              0,
4,                       15,           0.500,                              5.0,               71.5,                                     746.8,                                               "",                    18.070,        120.34,                  0.6708,                       "",                        "",            4484.0,                  0.009706,                                     "",         0,              0,
4,                       16,           0.500,                              5.0,               71.5,                                     747.5,                                               "",                    20.390,         40.06,                  0.3172,                       "",                        "",            5065.0,                  0.009010,                                     "",         0,              0,
4,                       17,           0.500,                              5.0,               71.0,                                     747.8,                                               "",                    23.310,         40.06,                  0.4063,                       "",                        "",            5809.0,                  0.008814,                                     "",         0,              0,
4,                       18,           0.500,                              5.0,               71.0,                                     750.2,                                               "",                    26.320,         40.06,                  0.5129,                       "",                        "",            6570.0,                  0.008712,                                     "",         0,              0,
4,                       19,           0.500,                              5.0,               71.0,                                     751.8,                                               "",                    29.100,         40.06,                  0.6168,                       "",                        "",            7282.0,                  0.008548,                                     "",         0,              0,
4,                       20,           0.500,                              5.0,               71.0,                                     753.6,                                               "",                    32.060,         40.06,                  0.7372,                       "",                        "",            8041.0,                  0.008397,                                     "",         0,              0,
4,                       21,           0.500,                              5.0,               71.0,                                     758.2,                                               "",                    34.870,        204.37,                  3.6460,                       "",                        "",            8800.0,                  0.008205,                                     "",         0,              0,
4,                       22,           0.500,                              5.0,               71.0,                                     760.5,                                               "",                    37.570,        204.37,                  4.1880,                       "",                        "",            9508.0,                  0.008095,                                     "",         0,              0,
4,                       23,           0.500,                              5.0,               71.0,                                     762.7,                                               "",                    40.620,        204.37,                  4.7370,                       "",                        "",           10610.0,                  0.007813,                                     "",         0,              0,
5,                        1,           0.500,                              5.0,               71.0,                                     758.9,                                               "",                    40.340,        204.37,                  4.6570,                       "",                        "",           10180.0,                  0.007823,                                     "",         1,              0,
5,                        2,           0.500,                              5.0,               71.0,                                     755.8,                                               "",                    36.440,        204.37,                  3.9370,                       "",                        "",            9168.0,                  0.008137,                                     "",         1,              0,
5,                        3,           0.500,                              5.0,               71.0,                                     753.5,                                               "",                    33.780,        204.37,                  3.4120,                       "",                        "",            8469.0,                  0.008279,                                     "",         1,              0,
5,                        4,           0.500,                              5.0,               71.0,                                     750.6,                                               "",                    31.070,         48.06,                  0.6987,                       "",                        "",            7761.0,                  0.008503,                                     "",         1,              0,
5,                        5,           0.500,                              5.0,               71.0,                                     747.5,                                               "",                    28.160,         48.06,                  0.5832,                       "",                        "",            7006.0,                  0.008677,                                     "",         1,              0,
5,                        6,           0.500,                              5.0,               71.0,                                     747.4,                                               "",                    25.350,         48.06,                  0.4836,                       "",                        "",            6306.0,                  0.008879,                                     "",         1,              0,
5,                        7,           0.500,                              5.0,               71.0,                                     746.1,                                               "",                    22.580,         48.06,                  0.3959,                       "",                        "",            5605.0,                  0.009183,                                     "",         1,              0,
5,                        8,           0.500,                              5.0,               71.0,                                     744.7,                                               "",                    19.960,         48.06,                  0.3156,                       "",                        "",            4947.0,                  0.009381,                                     "",         1,              0,
5,                        9,           0.500,                              5.0,               71.0,                                     743.5,                                               "",                    16.970,         48.06,                  0.2390,                       "",                        "",            4198.0,                  0.009846,                                     "",         1,              0,
5,                       10,           0.500,                              5.0,               71.0,                                     741.8,                                               "",                    14.230,        120.34,                  0.4404,                       "",                        "",            3512.0,                  0.010330,                                     "",         1,              0,
5,                       11,           0.500,                              5.0,               71.0,                                     741.0,                                               "",                    11.810,        120.34,                  0.3061,                       "",                        "",            2913.0,                  0.010430,                                     "",         1,              0,
5,                       12,           0.500,                              5.0,               71.0,                                     741.5,                                               "",                    11.800,        120.34,                  0.3069,                       "",                        "",            2912.0,                  0.010460,                                     "",         1,              0,
5,                       13,           0.500,                              5.0,               71.0,                                     741.1,                                               "",                    10.640,        204.37,                  0.4209,                       "",                        "",            2625.0,                  0.010640,                                     "",         1,              0,
5,                       14,           0.500,                              5.0,               71.0,                                     740.7,                                               "",                     9.607,        204.37,                  0.3268,                       "",                        "",            2368.0,                  0.009607,                                     "",         1,              0,
5,                       15,           0.500,                              5.0,               71.0,                                     740.3,                                               "",                     8.791,        204.37,                  0.2267,                       "",                        "",            2178.0,                  0.008791,                                     "",         1,              0,
5,                       16,           0.500,                              5.0,               71.0,                                     740.0,                                               "",                     7.776,        204.37,                  0.1862,                       "",                        "",            1915.0,                  0.007776,                                     "",         1,              0,
5,                       17,           0.500,                              5.0,               71.0,                                     739.8,                                               "",                     6.875,        204.37,                  0.1620,                       "",                        "",            1693.0,                  0.006875,                                     "",         1,              0,
5,                       18,           0.500,                              5.0,               71.5,                                     739.5,                                               "",                     6.009,        204.37,                  0.1405,                       "",                        "",            1477.0,                  0.006009,                                     "",         1,              0,
5,                       19,           0.500,                              5.0,               71.5,                                     739.3,                                               "",                     5.181,        204.37,                  0.1191,                       "",                        "",            1274.0,                  0.005181,                                     "",         1,              0,
5,                       20,           0.500,                              5.0,               71.5,                                     739.2,                                               "",                     4.408,        204.37,                  0.1028,                       "",                        "",            1083.0,                  0.004408,                                     "",         1,              0,
5,                       21,           0.500,                              5.0,               71.5,                                     739.1,                                               "",                     3.685,        204.37,                  0.0858,                       "",                        "",             905.0,                  0.003685,                                     "",         1,              0,
5,                       22,           0.500,                              5.0,               71.5,                                     739.1,                                               "",                     3.251,        204.37,                  0.0753,                       "",                        "",             798.0,                  0.003251,                                     "",         1,              0,
6,                        1,           0.500,                             10.0,               72.0,                                     737.7,                                               "",                     3.275,        204.37,                  0.0761,                       "",                        "",             802.0,                  0.020000,                                     "",         0,              0,
6,                        2,           0.500,                             10.0,               72.0,                                     737.8,                                               "",                     3.992,        204.37,                  0.0928,                       "",                        "",             978.0,                  0.016390,                                     "",         0,              0,
6,                        3,           0.500,                             10.0,               72.0,                                     737.9,                                               "",                     4.845,        204.37,                  0.1106,                       "",                        "",            1187.0,                  0.013260,                                     "",         0,              0,
6,                        4,           0.500,                             10.0,               72.0,                                     737.9,                                               "",                     5.634,        204.37,                  0.1312,                       "",                        "",            1380.0,                  0.011640,                                     "",         0,              0,
6,                        5,           0.500,                             10.0,               72.0,                                     738.1,                                               "",                     6.390,        204.37,                  0.1497,                       "",                        "",            1565.0,                  0.010320,                                     "",         0,              0,
6,                        6,           0.500,                             10.0,               72.5,                                     738.4,                                               "",                     7.337,        204.37,                  0.1741,                       "",                        "",            1794.0,                  0.009108,                                     "",         0,              0,
6,                        7,           0.500,                             10.0,               72.5,                                     738.5,                                               "",                     8.266,        204.37,                  0.1995,                       "",                        "",            2022.0,                  0.008221,                                     "",         0,              0,
6,                        8,           0.500,                             10.0,               72.5,                                     738.5,                                               "",                     9.142,        204.37,                  0.2381,                       "",                        "",            2236.0,                  0.008023,                                     "",         0,              0,
6,                        9,           0.500,                             10.0,               72.5,                                     738.6,                                               "",                    10.110,        204.37,                  0.3582,                       "",                        "",            2473.0,                  0.009890,                                     "",         0,              0,
6,                       10,           0.500,                             10.0,               73.0,                                     738.8,                                               "",                    11.030,        204.37,                  0.4445,                       "",                        "",            2695.0,                  0.010300,                                     "",         0,              0,
6,                       11,           0.500,                             10.0,               73.0,                                     739.2,                                               "",                    12.060,        204.37,                  0.5323,                       "",                        "",            2950.0,                  0.010300,                                     "",         0,              0,
6,                       12,           0.500,                             10.0,               73.0,                                     739.7,                                               "",                    12.830,        204.37,                  0.6138,                       "",                        "",            3140.0,                  0.010490,                                     "",         0,              0,
6,                       13,           0.500,                             10.0,               73.0,                                     739.8,                                               "",                    15.570,        168.37,                  0.7189,                       "",                        "",            3811.0,                  0.010120,                                     "",         0,              0,
6,                       14,           0.500,                             10.0,               73.5,                                     740.4,                                               "",                    18.380,        120.34,                  0.6932,                       "",                        "",            4499.0,                  0.009797,                                     "",         0,              0,
6,                       15,           0.500,                             10.0,               73.5,                                     741.5,                                               "",                    21.790,         48.06,                  0.3700,                       "",                        "",            5340.0,                  0.009308,                                     "",         0,              0,
6,                       16,           0.500,                             10.0,               73.5,                                     742.6,                                               "",                    24.020,         48.06,                  0.4380,                       "",                        "",            5893.0,                  0.009058,                                     "",         0,              0,
6,                       17,           0.500,                             10.0,               73.5,                                     744.1,                                               "",                    27.090,         48.06,                  0.5330,                       "",                        "",            6660.0,                  0.008651,                                     "",         0,              0,
6,                       18,           0.500,                             10.0,               73.5,                                     745.3,                                               "",                    29.320,         48.06,                  0.6218,                       "",                        "",            7222.0,                  0.008596,                                     "",         0,              0,
6,                       19,           0.500,                             10.0,               73.5,                                     747.0,                                               "",                    32.330,         48.06,                  0.7415,                       "",                        "",            7981.0,                  0.008414,                                     "",         0,              0,
6,                       20,           0.500,                             10.0,               73.5,                                     751.6,                                               "",                    35.080,        204.37,                  3.6330,                       "",                        "",            8712.0,                  0.008183,                                     "",         0,              0,
6,                       21,           0.500,                             10.0,               73.5,                                     753.8,                                               "",                    37.540,        204.37,                  4.1380,                       "",                        "",            9350.0,                  0.008116,                                     "",         0,              0,
6,                       22,           0.500,                             10.0,               73.5,                                     756.2,                                               "",                    40.120,        204.37,                  4.7300,                       "",                        "",           10025.0,                  0.008099,                                     "",         0,              0,
7,                        1,           0.500,                             10.0,               74.0,                                     765.3,                                               "",                    39.810,        204.37,                  4.6490,                       "",                        "",           10048.0,                  0.007995,                                     "",         0,              0,
7,                        2,           0.500,                             10.0,               74.0,                                     761.3,                                               "",                    36.620,        204.37,                  4.0210,                       "",                        "",            9194.0,                  0.008215,                                     "",         0,              0,
7,                        3,           0.500,                             10.0,               74.0,                                     757.8,                                               "",                    34.150,        204.37,                  3.5190,                       "",                        "",            8533.0,                  0.008306,                                     "",         0,              0,
7,                        4,           0.500,                             10.0,               74.0,                                     753.4,                                               "",                    31.580,         48.06,                  0.7243,                       "",                        "",            7848.0,                  0.008545,                                     "",         0,              0,
7,                        5,           0.500,                             10.0,               74.0,                                     749.9,                                               "",                    28.990,         48.06,                  0.6175,                       "",                        "",            7170.0,                  0.008685,                                     "",         0,              0,
7,                        6,           0.500,                             10.0,               74.0,                                     747.1,                                               "",                    26.080,         48.06,                  0.5087,                       "",                        "",            6425.0,                  0.008874,                                     "",         0,              0,
7,                        7,           0.500,                             10.0,               74.0,                                     745.1,                                               "",                    23.350,         48.06,                  0.4203,                       "",                        "",            5736.0,                  0.009176,                                     "",         0,              0,
7,                        8,           0.500,                             10.0,               74.0,                                     743.9,                                               "",                    21.940,         48.06,                  0.3748,                       "",                        "",            5381.0,                  0.009278,                                     "",         0,              0,
7,                        9,           0.500,                             10.0,               74.0,                                     742.6,                                               "",                    19.150,        120.34,                  0.7490,                       "",                        "",            4692.0,                  0.009627,                                     "",         0,              0,
7,                       10,           0.500,                             10.0,               74.5,                                     738.2,                                               "",                    16.530,        120.34,                  0.5680,                       "",                        "",            4017.0,                  0.009985,                                     "",         0,              0,
7,                       11,           0.500,                             10.0,               74.5,                                     737.2,                                               "",                    13.750,        168.37,                  0.5668,                       "",                        "",            3339.0,                  0.010300,                                     "",         0,              0,
7,                       12,           0.500,                             10.0,               74.5,                                     736.2,                                               "",                    11.320,        204.37,                  0.4667,                       "",                        "",            2745.0,                  0.010320,                                     "",         0,              0,
7,                       13,           0.500,                             10.0,               74.5,                                     735.9,                                               "",                    10.050,        204.37,                  0.3254,                       "",                        "",            2435.0,                  0.009146,                                     "",         0,              0,
7,                       14,           0.500,                             10.0,               75.0,                                     735.4,                                               "",                     9.082,        204.37,                  0.2312,                       "",                        "",            2195.0,                  0.008045,                                     "",         0,              0,
7,                       15,           0.500,                             10.0,               75.0,                                     735.2,                                               "",                     8.265,        204.37,                  0.2007,                       "",                        "",            1997.0,                  0.008348,                                     "",         0,              0,
7,                       16,           0.500,                             10.0,               75.0,                                     734.9,                                               "",                     7.322,        204.37,                  0.1746,                       "",                        "",            1769.0,                  0.009259,                                     "",         0,              0,
7,                       17,           0.500,                             10.0,               75.0,                                     734.6,                                               "",                     6.493,        204.37,                  0.1510,                       "",                        "",            1568.0,                  0.010190,                                     "",         0,              0,
7,                       18,           0.500,                             10.0,               75.0,                                     734.4,                                               "",                     5.753,        204.37,                  0.1330,                       "",                        "",            1388.0,                  0.011420,                                     "",         0,              0,
7,                       19,           0.500,                             10.0,               75.0,                                     734.3,                                               "",                     4.884,        204.37,                  0.0963,                       "",                        "",            1178.0,                  0.013470,                                     "",         0,              0,
7,                       20,           0.500,                             10.0,               74.5,                                     734.2,                                               "",                     4.126,        204.37,                  0.0963,                       "",                        "",             997.0,                  0.016070,                                     "",         0,              0,
7,                       21,           0.500,                             10.0,               74.5,                                     734.1,                                               "",                     3.372,        204.37,                  0.0781,                       "",                        "",             815.0,                  0.019400,                                     "",         0,              0,
9,                        1,           0.500,                             15.0,               72.0,                                     738.6,                                            738.6,                     3.051,        204.37,                  0.0704,                 0.008000,                     6.067,             748.0,                  0.021270,                               0.502884,         0,              0,
9,                        2,           0.500,                             15.0,               72.0,                                     738.8,                                            738.8,                     3.889,        204.37,                  0.0900,                 0.013200,                     7.790,             953.0,                  0.016740,                               0.499230,         0,              0,
9,                        3,           0.500,                             15.0,               72.0,                                     739.0,                                            739.0,                     4.840,        204.37,                  0.1115,                 0.020100,                     9.611,            1188.0,                  0.013390,                               0.503590,         0,              0,
9,                        4,           0.500,                             15.0,               72.0,                                     739.2,                                            739.2,                     5.590,        204.37,                  0.1298,                 0.027200,                    11.180,            1371.0,                  0.011710,                               0.500000,         0,              0,
9,                        5,           0.500,                             15.0,               72.0,                                     739.4,                                            739.4,                     6.376,        204.37,                  0.1508,                 0.036600,                    12.970,            1564.0,                  0.010430,                               0.491596,         0,              0,
9,                        6,           0.500,                             15.0,               72.0,                                     739.8,                                            739.7,                     7.339,        204.37,                  0.1753,                 0.047200,                    14.720,            1802.0,                  0.009147,                               0.498573,         0,              0,
9,                        7,           0.500,                             15.0,               72.0,                                     740.1,                                            740.0,                     8.276,        204.37,                  0.2127,                 0.058900,                    16.440,            2033.0,                  0.008719,                               0.503406,         0,              0,
9,                        8,           0.500,                             15.0,               72.0,                                     740.4,                                            740.4,                     9.174,        204.37,                  0.2457,                 0.065100,                    17.280,            2255.0,                  0.008192,                               0.530903,         0,              0,
9,                        9,           0.500,                             15.0,               72.0,                                     740.8,                                            740.7,                     9.997,        204.37,                  0.3463,                 0.053100,                    15.600,            2458.0,                  0.009718,                               0.640833,         0,              0,
