"Pressure [atm]", "Temperature [K]",         "Fluid", "Quantity", "Value", "Uncertainty percent", "Preferred?",
1.0,                          100.0,  "_gaseous_air",       "mu",  0.4038,                   2.0,            0,
1.0,                          110.0,  "_gaseous_air",       "mu",  0.4448,                   2.0,            0,
1.0,                          120.0,  "_gaseous_air",       "mu",  0.4848,                   2.0,            0,
1.0,                          130.0,  "_gaseous_air",       "mu",  0.5239,                   2.0,            0,
1.0,                          140.0,  "_gaseous_air",       "mu",  0.5621,                   2.0,            0,
1.0,                          150.0,  "_gaseous_air",       "mu",  0.5994,                   2.0,            0,
1.0,                          160.0,  "_gaseous_air",       "mu",  0.6359,                   2.0,            0,
1.0,                          170.0,  "_gaseous_air",       "mu",  0.6716,                   2.0,            0,
1.0,                          180.0,  "_gaseous_air",       "mu",  0.7065,                   2.0,            0,
1.0,                          190.0,  "_gaseous_air",       "mu",  0.7407,                   2.0,            0,
1.0,                          200.0,  "_gaseous_air",       "mu",  0.7742,                   2.0,            0,
1.0,                          210.0,  "_gaseous_air",       "mu",  0.8070,                   2.0,            0,
1.0,                          220.0,  "_gaseous_air",       "mu",  0.8391,                   2.0,            0,
1.0,                          230.0,  "_gaseous_air",       "mu",  0.8706,                   2.0,            0,
1.0,                          240.0,  "_gaseous_air",       "mu",  0.9015,                   2.0,            0,
1.0,                          250.0,  "_gaseous_air",       "mu",  0.9319,                   2.0,            0,
1.0,                          260.0,  "_gaseous_air",       "mu",  0.9617,                   2.0,            0,
1.0,                          270.0,  "_gaseous_air",       "mu",  0.9909,                   2.0,            0,
1.0,                          280.0,  "_gaseous_air",       "mu",  1.0200,                   2.0,            0,
1.0,                          290.0,  "_gaseous_air",       "mu",  1.0760,                   2.0,            0,
1.0,                          300.0,  "_gaseous_air",       "mu",  1.0760,                   2.0,            0,
1.0,                          310.0,  "_gaseous_air",       "mu",  1.1030,                   2.0,            0,
1.0,                          320.0,  "_gaseous_air",       "mu",  1.1300,                   2.0,            0,
1.0,                          330.0,  "_gaseous_air",       "mu",  1.1570,                   2.0,            0,
1.0,                          340.0,  "_gaseous_air",       "mu",  1.1830,                   2.0,            0,
1.0,                          350.0,  "_gaseous_air",       "mu",  1.2090,                   2.0,            0,
1.0,                          360.0,  "_gaseous_air",       "mu",  1.2340,                   2.0,            0,
1.0,                          370.0,  "_gaseous_air",       "mu",  1.2590,                   2.0,            0,
1.0,                          380.0,  "_gaseous_air",       "mu",  1.2830,                   2.0,            0,
1.0,                          390.0,  "_gaseous_air",       "mu",  1.3080,                   2.0,            0,
1.0,                          400.0,  "_gaseous_air",       "mu",  1.3320,                   2.0,            0,
1.0,                          410.0,  "_gaseous_air",       "mu",  1.3560,                   2.0,            0,
1.0,                          420.0,  "_gaseous_air",       "mu",  1.3790,                   2.0,            0,
1.0,                          430.0,  "_gaseous_air",       "mu",  1.4020,                   2.0,            0,
1.0,                          440.0,  "_gaseous_air",       "mu",  1.4250,                   2.0,            0,
1.0,                          450.0,  "_gaseous_air",       "mu",  1.4480,                   2.0,            0,
1.0,                          460.0,  "_gaseous_air",       "mu",  1.4700,                   2.0,            0,
1.0,                          470.0,  "_gaseous_air",       "mu",  1.4910,                   2.0,            0,
1.0,                          480.0,  "_gaseous_air",       "mu",  1.5130,                   2.0,            0,
1.0,                          490.0,  "_gaseous_air",       "mu",  1.5340,                   2.0,            0,
1.0,                          500.0,  "_gaseous_air",       "mu",  1.5560,                   2.0,            0,
1.0,                          510.0,  "_gaseous_air",       "mu",  1.5770,                   2.0,            0,
1.0,                          520.0,  "_gaseous_air",       "mu",  1.5980,                   2.0,            0,
1.0,                          530.0,  "_gaseous_air",       "mu",  1.6190,                   2.0,            0,
1.0,                          540.0,  "_gaseous_air",       "mu",  1.6400,                   2.0,            0,
1.0,                          550.0,  "_gaseous_air",       "mu",  1.6600,                   2.0,            0,
1.0,                          560.0,  "_gaseous_air",       "mu",  1.6800,                   2.0,            0,
1.0,                          570.0,  "_gaseous_air",       "mu",  1.7000,                   2.0,            0,
1.0,                          580.0,  "_gaseous_air",       "mu",  1.7200,                   2.0,            0,
1.0,                          590.0,  "_gaseous_air",       "mu",  1.7390,                   2.0,            0,
1.0,                          600.0,  "_gaseous_air",       "mu",  1.7580,                   2.0,            0,
1.0,                          610.0,  "_gaseous_air",       "mu",  1.7770,                   2.0,            0,
1.0,                          620.0,  "_gaseous_air",       "mu",  1.7960,                   2.0,            0,
1.0,                          630.0,  "_gaseous_air",       "mu",  1.8150,                   2.0,            0,
1.0,                          640.0,  "_gaseous_air",       "mu",  1.8340,                   2.0,            0,
1.0,                          650.0,  "_gaseous_air",       "mu",  1.8520,                   2.0,            0,
1.0,                          660.0,  "_gaseous_air",       "mu",  1.8700,                   2.0,            0,
1.0,                          670.0,  "_gaseous_air",       "mu",  1.8880,                   2.0,            0,
1.0,                          680.0,  "_gaseous_air",       "mu",  1.9060,                   2.0,            0,
1.0,                          690.0,  "_gaseous_air",       "mu",  1.9240,                   2.0,            0,
1.0,                          700.0,  "_gaseous_air",       "mu",  1.9429,                   2.0,            0,
1.0,                          710.0,  "_gaseous_air",       "mu",  1.9590,                   2.0,            0,
1.0,                          720.0,  "_gaseous_air",       "mu",  1.9770,                   2.0,            0,
1.0,                          730.0,  "_gaseous_air",       "mu",  1.9940,                   2.0,            0,
1.0,                          740.0,  "_gaseous_air",       "mu",  2.0120,                   2.0,            0,
1.0,                          750.0,  "_gaseous_air",       "mu",  2.0290,                   2.0,            0,
1.0,                          760.0,  "_gaseous_air",       "mu",  2.0460,                   2.0,            0,
1.0,                          770.0,  "_gaseous_air",       "mu",  2.0630,                   2.0,            0,
1.0,                          780.0,  "_gaseous_air",       "mu",  2.0800,                   2.0,            0,
1.0,                          790.0,  "_gaseous_air",       "mu",  2.0960,                   2.0,            0,
1.0,                          800.0,  "_gaseous_air",       "mu",  2.1120,                   2.0,            0,
1.0,                          810.0,  "_gaseous_air",       "mu",  2.1280,                   2.0,            0,
1.0,                          820.0,  "_gaseous_air",       "mu",  2.1450,                   2.0,            0,
1.0,                          830.0,  "_gaseous_air",       "mu",  2.1610,                   2.0,            0,
1.0,                          840.0,  "_gaseous_air",       "mu",  2.1770,                   2.0,            0,
1.0,                          850.0,  "_gaseous_air",       "mu",  2.1930,                   2.0,            0,
1.0,                          860.0,  "_gaseous_air",       "mu",  2.2090,                   2.0,            0,
1.0,                          870.0,  "_gaseous_air",       "mu",  2.2250,                   2.0,            0,
1.0,                          880.0,  "_gaseous_air",       "mu",  2.2400,                   2.0,            0,
1.0,                          890.0,  "_gaseous_air",       "mu",  2.2560,                   2.0,            0,
1.0,                          900.0,  "_gaseous_air",       "mu",  2.2710,                   2.0,            0,
1.0,                          910.0,  "_gaseous_air",       "mu",  2.2860,                   2.0,            0,
1.0,                          920.0,  "_gaseous_air",       "mu",  2.3010,                   2.0,            0,
1.0,                          930.0,  "_gaseous_air",       "mu",  2.3160,                   2.0,            0,
1.0,                          940.0,  "_gaseous_air",       "mu",  2.3310,                   2.0,            0,
1.0,                          950.0,  "_gaseous_air",       "mu",  2.3460,                   2.0,            0,
1.0,                          960.0,  "_gaseous_air",       "mu",  2.3620,                   2.0,            0,
1.0,                          970.0,  "_gaseous_air",       "mu",  2.3770,                   2.0,            0,
1.0,                          980.0,  "_gaseous_air",       "mu",  2.3910,                   2.0,            0,
1.0,                          990.0,  "_gaseous_air",       "mu",  2.4060,                   2.0,            0,
1.0,                         1000.0,  "_gaseous_air",       "mu",  2.4200,                   2.0,            0,
1.0,                         1010.0,  "_gaseous_air",       "mu",  2.4350,                   2.0,            0,
1.0,                         1020.0,  "_gaseous_air",       "mu",  2.4500,                   2.0,            0,
1.0,                         1030.0,  "_gaseous_air",       "mu",  2.4640,                   2.0,            0,
1.0,                         1040.0,  "_gaseous_air",       "mu",  2.4780,                   2.0,            0,
1.0,                         1050.0,  "_gaseous_air",       "mu",  2.4920,                   2.0,            0,
1.0,                         1060.0,  "_gaseous_air",       "mu",  2.5060,                   2.0,            0,
1.0,                         1070.0,  "_gaseous_air",       "mu",  2.5200,                   2.0,            0,
1.0,                         1080.0,  "_gaseous_air",       "mu",  2.5340,                   2.0,            0,
1.0,                         1090.0,  "_gaseous_air",       "mu",  2.5480,                   2.0,            0,
1.0,                         1100.0,  "_gaseous_air",       "mu",  2.5620,                   2.0,            0,
1.0,                         1110.0,  "_gaseous_air",       "mu",  2.5760,                   2.0,            0,
1.0,                         1120.0,  "_gaseous_air",       "mu",  2.5890,                   2.0,            0,
1.0,                         1130.0,  "_gaseous_air",       "mu",  2.6020,                   2.0,            0,
1.0,                         1140.0,  "_gaseous_air",       "mu",  2.6160,                   2.0,            0,
1.0,                         1150.0,  "_gaseous_air",       "mu",  2.6290,                   2.0,            0,
1.0,                         1170.0,  "_gaseous_air",       "mu",  2.6420,                   2.0,            0,
1.0,                         1180.0,  "_gaseous_air",       "mu",  2.6690,                   2.0,            0,
1.0,                         1190.0,  "_gaseous_air",       "mu",  2.6830,                   2.0,            0,
1.0,                         1200.0,  "_gaseous_air",       "mu",  2.6960,                   2.0,            0,
1.0,                         1210.0,  "_gaseous_air",       "mu",  2.7090,                   2.0,            0,
1.0,                         1220.0,  "_gaseous_air",       "mu",  2.7220,                   2.0,            0,
1.0,                         1230.0,  "_gaseous_air",       "mu",  2.7350,                   2.0,            0,
1.0,                         1240.0,  "_gaseous_air",       "mu",  2.7470,                   2.0,            0,
1.0,                         1250.0,  "_gaseous_air",       "mu",  2.7600,                   2.0,            0,
1.0,                         1260.0,  "_gaseous_air",       "mu",  2.7730,                   2.0,            0,
1.0,                         1270.0,  "_gaseous_air",       "mu",  2.7860,                   2.0,            0,
1.0,                         1280.0,  "_gaseous_air",       "mu",  2.7990,                   2.0,            0,
1.0,                         1290.0,  "_gaseous_air",       "mu",  2.8120,                   2.0,            0,
1.0,                         1300.0,  "_gaseous_air",       "mu",  2.8240,                   2.0,            0,
1.0,                         1310.0,  "_gaseous_air",       "mu",  2.8370,                   2.0,            0,
1.0,                         1320.0,  "_gaseous_air",       "mu",  2.8490,                   2.0,            0,
1.0,                         1330.0,  "_gaseous_air",       "mu",  2.8620,                   2.0,            0,
1.0,                         1340.0,  "_gaseous_air",       "mu",  2.8740,                   2.0,            0,
1.0,                         1350.0,  "_gaseous_air",       "mu",  2.8860,                   2.0,            0,
1.0,                         1360.0,  "_gaseous_air",       "mu",  2.8980,                   2.0,            0,
1.0,                         1370.0,  "_gaseous_air",       "mu",  2.9110,                   2.0,            0,
1.0,                         1380.0,  "_gaseous_air",       "mu",  2.9230,                   2.0,            0,
1.0,                         1390.0,  "_gaseous_air",       "mu",  2.9350,                   2.0,            0,
1.0,                         1400.0,  "_gaseous_air",       "mu",  2.9470,                   2.0,            0,
1.0,                         1410.0,  "_gaseous_air",       "mu",  2.9600,                   2.0,            0,
1.0,                         1420.0,  "_gaseous_air",       "mu",  2.9720,                   2.0,            0,
1.0,                         1430.0,  "_gaseous_air",       "mu",  2.9840,                   2.0,            0,
1.0,                         1440.0,  "_gaseous_air",       "mu",  2.9950,                   2.0,            0,
1.0,                         1450.0,  "_gaseous_air",       "mu",  3.0070,                   2.0,            0,
1.0,                         1460.0,  "_gaseous_air",       "mu",  3.0190,                   2.0,            0,
1.0,                         1470.0,  "_gaseous_air",       "mu",  3.0310,                   2.0,            0,
1.0,                         1480.0,  "_gaseous_air",       "mu",  3.0420,                   2.0,            0,
1.0,                         1490.0,  "_gaseous_air",       "mu",  3.0540,                   2.0,            0,
1.0,                         1500.0,  "_gaseous_air",       "mu",  3.0660,                   2.0,            0,
1.0,                         1600.0,  "_gaseous_air",       "mu",  3.1800,                   2.0,            0,
1.0,                         1700.0,  "_gaseous_air",       "mu",  3.2900,                   2.0,            0,
1.0,                         1800.0,  "_gaseous_air",       "mu",  3.3970,                   2.0,            0,
1.0,                         1900.0,  "_gaseous_air",       "mu",  3.5010,                   2.0,            0,
1.0,                           80.0,  "_gaseous_air",   "lambda",  0.3092,                   4.0,            0,
1.0,                           90.0,  "_gaseous_air",   "lambda",  0.3459,                   4.0,            0,
1.0,                          100.0,  "_gaseous_air",   "lambda",  0.3831,                   4.0,            0,
1.0,                          110.0,  "_gaseous_air",   "lambda",  0.4203,                   4.0,            0,
1.0,                          120.0,  "_gaseous_air",   "lambda",  0.4576,                   4.0,            0,
1.0,                          130.0,  "_gaseous_air",   "lambda",  0.4948,                   4.0,            0,
1.0,                          140.0,  "_gaseous_air",   "lambda",  0.5318,                   4.0,            0,
1.0,                          150.0,  "_gaseous_air",   "lambda",  0.5687,                   4.0,            0,
1.0,                          160.0,  "_gaseous_air",   "lambda",  0.6052,                   4.0,            0,
1.0,                          170.0,  "_gaseous_air",   "lambda",  0.6418,                   4.0,            0,
1.0,                          180.0,  "_gaseous_air",   "lambda",  0.6780,                   4.0,            0,
1.0,                          190.0,  "_gaseous_air",   "lambda",  0.7138,                   4.0,            0,
1.0,                          200.0,  "_gaseous_air",   "lambda",  0.7494,                   4.0,            0,
1.0,                          210.0,  "_gaseous_air",   "lambda",  0.7846,                   4.0,            0,
1.0,                          220.0,  "_gaseous_air",   "lambda",  0.8196,                   4.0,            0,
1.0,                          230.0,  "_gaseous_air",   "lambda",  0.8543,                   4.0,            0,
1.0,                          240.0,  "_gaseous_air",   "lambda",  0.8885,                   4.0,            0,
1.0,                          250.0,  "_gaseous_air",   "lambda",  0.9225,                   4.0,            0,
1.0,                          260.0,  "_gaseous_air",   "lambda",  0.9561,                   4.0,            0,
1.0,                          270.0,  "_gaseous_air",   "lambda",  0.9894,                   4.0,            0,
1.0,                          280.0,  "_gaseous_air",   "lambda",  1.0220,                   4.0,            0,
1.0,                          290.0,  "_gaseous_air",   "lambda",  1.0550,                   4.0,            0,
1.0,                          300.0,  "_gaseous_air",   "lambda",  1.0870,                   4.0,            0,
1.0,                          310.0,  "_gaseous_air",   "lambda",  1.1190,                   4.0,            0,
1.0,                          320.0,  "_gaseous_air",   "lambda",  1.1510,                   4.0,            0,
1.0,                          330.0,  "_gaseous_air",   "lambda",  1.1820,                   4.0,            0,
1.0,                          340.0,  "_gaseous_air",   "lambda",  1.2130,                   4.0,            0,
1.0,                          350.0,  "_gaseous_air",   "lambda",  1.2440,                   4.0,            0,
1.0,                          360.0,  "_gaseous_air",   "lambda",  1.2750,                   4.0,            0,
1.0,                          370.0,  "_gaseous_air",   "lambda",  1.3050,                   4.0,            0,
1.0,                          380.0,  "_gaseous_air",   "lambda",  1.3350,                   4.0,            0,
1.0,                          390.0,  "_gaseous_air",   "lambda",  1.3650,                   4.0,            0,
1.0,                          400.0,  "_gaseous_air",   "lambda",  1.3940,                   4.0,            0,
1.0,                          410.0,  "_gaseous_air",   "lambda",  1.4230,                   4.0,            0,
1.0,                          420.0,  "_gaseous_air",   "lambda",  1.4520,                   4.0,            0,
1.0,                          430.0,  "_gaseous_air",   "lambda",  1.4810,                   4.0,            0,
1.0,                          440.0,  "_gaseous_air",   "lambda",  1.5090,                   4.0,            0,
1.0,                          450.0,  "_gaseous_air",   "lambda",  1.5370,                   4.0,            0,
1.0,                          460.0,  "_gaseous_air",   "lambda",  1.5650,                   4.0,            0,
1.0,                          470.0,  "_gaseous_air",   "lambda",  1.5930,                   4.0,            0,
1.0,                          480.0,  "_gaseous_air",   "lambda",  1.6200,                   4.0,            0,
1.0,                          490.0,  "_gaseous_air",   "lambda",  1.6470,                   4.0,            0,
1.0,                          500.0,  "_gaseous_air",   "lambda",  1.6740,                   4.0,            0,
1.0,                          510.0,  "_gaseous_air",   "lambda",  1.7010,                   4.0,            0,
1.0,                          520.0,  "_gaseous_air",   "lambda",  1.7270,                   4.0,            0,
1.0,                          530.0,  "_gaseous_air",   "lambda",  1.7530,                   4.0,            0,
1.0,                          540.0,  "_gaseous_air",   "lambda",  1.7790,                   4.0,            0,
1.0,                          550.0,  "_gaseous_air",   "lambda",  1.8050,                   4.0,            0,
1.0,                          560.0,  "_gaseous_air",   "lambda",  1.8310,                   4.0,            0,
1.0,                          570.0,  "_gaseous_air",   "lambda",  1.8560,                   4.0,            0,
1.0,                          580.0,  "_gaseous_air",   "lambda",  1.8810,                   4.0,            0,
1.0,                          590.0,  "_gaseous_air",   "lambda",  1.9060,                   4.0,            0,
1.0,                          600.0,  "_gaseous_air",   "lambda",  1.9310,                   4.0,            0,
1.0,                          610.0,  "_gaseous_air",   "lambda",  1.9560,                   4.0,            0,
1.0,                          620.0,  "_gaseous_air",   "lambda",  1.9800,                   4.0,            0,
1.0,                          630.0,  "_gaseous_air",   "lambda",  2.0040,                   4.0,            0,
1.0,                          640.0,  "_gaseous_air",   "lambda",  2.0280,                   4.0,            0,
1.0,                          650.0,  "_gaseous_air",   "lambda",  2.0520,                   4.0,            0,
1.0,                          660.0,  "_gaseous_air",   "lambda",  2.0760,                   4.0,            0,
1.0,                          670.0,  "_gaseous_air",   "lambda",  2.1000,                   4.0,            0,
1.0,                          680.0,  "_gaseous_air",   "lambda",  2.1230,                   4.0,            0,
1.0,                          690.0,  "_gaseous_air",   "lambda",  2.1460,                   4.0,            0,
1.0,                          700.0,  "_gaseous_air",   "lambda",  2.1690,                   4.0,            0,
1.0,                          710.0,  "_gaseous_air",   "lambda",  2.1920,                   4.0,            0,
1.0,                          720.0,  "_gaseous_air",   "lambda",  2.2140,                   4.0,            0,
1.0,                          730.0,  "_gaseous_air",   "lambda",  2.2370,                   4.0,            0,
1.0,                          740.0,  "_gaseous_air",   "lambda",  2.2590,                   4.0,            0,
1.0,                          750.0,  "_gaseous_air",   "lambda",  2.2820,                   4.0,            0,
1.0,                          760.0,  "_gaseous_air",   "lambda",  2.3040,                   4.0,            0,
1.0,                          770.0,  "_gaseous_air",   "lambda",  2.3260,                   4.0,            0,
1.0,                          780.0,  "_gaseous_air",   "lambda",  2.3480,                   4.0,            0,
1.0,                          790.0,  "_gaseous_air",   "lambda",  2.3700,                   4.0,            0,
1.0,                          800.0,  "_gaseous_air",   "lambda",  2.3920,                   4.0,            0,
1.0,                          810.0,  "_gaseous_air",   "lambda",  2.4130,                   4.0,            0,
1.0,                          820.0,  "_gaseous_air",   "lambda",  2.4340,                   4.0,            0,
1.0,                          830.0,  "_gaseous_air",   "lambda",  2.4560,                   4.0,            0,
1.0,                          840.0,  "_gaseous_air",   "lambda",  2.4770,                   4.0,            0,
1.0,                          850.0,  "_gaseous_air",   "lambda",  2.4980,                   4.0,            0,
1.0,                          860.0,  "_gaseous_air",   "lambda",  2.5180,                   4.0,            0,
1.0,                          870.0,  "_gaseous_air",   "lambda",  2.5390,                   4.0,            0,
1.0,                          880.0,  "_gaseous_air",   "lambda",  2.5590,                   4.0,            0,
1.0,                          890.0,  "_gaseous_air",   "lambda",  2.5800,                   4.0,            0,
1.0,                          900.0,  "_gaseous_air",   "lambda",  2.6000,                   4.0,            0,
1.0,                          910.0,  "_gaseous_air",   "lambda",  2.6200,                   4.0,            0,
1.0,                          920.0,  "_gaseous_air",   "lambda",  2.6400,                   4.0,            0,
1.0,                          930.0,  "_gaseous_air",   "lambda",  2.6610,                   4.0,            0,
1.0,                          940.0,  "_gaseous_air",   "lambda",  2.6810,                   4.0,            0,
1.0,                          950.0,  "_gaseous_air",   "lambda",  2.7010,                   4.0,            0,
1.0,                          960.0,  "_gaseous_air",   "lambda",  2.7200,                   4.0,            0,
1.0,                          970.0,  "_gaseous_air",   "lambda",  2.7400,                   4.0,            0,
1.0,                          980.0,  "_gaseous_air",   "lambda",  2.7590,                   4.0,            0,
1.0,                          990.0,  "_gaseous_air",   "lambda",  2.7790,                   4.0,            0,
1.0,                         1000.0,  "_gaseous_air",   "lambda",  2.7980,                   4.0,            0,
