"Pressure [psia]", "Temperature [Â°C]",  "Fluid", "Quantity", "Value",
14.7,                             0.0, "H2O(l)",        "a", 1403.01,
14.7,                            10.0, "H2O(l)",        "a", 1447.85,
14.7,                            20.0, "H2O(l)",        "a", 1482.92,
14.7,                            30.0, "H2O(l)",        "a", 1509.66,
14.7,                            40.0, "H2O(l)",        "a", 1529.30,
14.7,                            50.0, "H2O(l)",        "a", 1542.88,
14.7,                            60.0, "H2O(l)",        "a", 1551.26,
14.7,                            70.0, "H2O(l)",        "a", 1555.06,
14.7,                            80.0, "H2O(l)",        "a", 1554.74,
14.7,                            90.0, "H2O(l)",        "a", 1550.52,
14.7,                           100.0, "H2O(l)",        "a", 1542.51,
2000.0,                           0.0, "H2O(l)",        "a", 1424.49,
2000.0,                          10.0, "H2O(l)",        "a", 1470.03,
2000.0,                          20.0, "H2O(l)",        "a", 1505.66,
2000.0,                          30.0, "H2O(l)",        "a", 1532.92,
2000.0,                          40.0, "H2O(l)",        "a", 1553.11,
2000.0,                          50.0, "H2O(l)",        "a", 1567.34,
2000.0,                          60.0, "H2O(l)",        "a", 1576.47,
2000.0,                          70.0, "H2O(l)",        "a", 1581.14,
2000.0,                          80.0, "H2O(l)",        "a", 1581.77,
2000.0,                          90.0, "H2O(l)",        "a", 1578.58,
2000.0,                         100.0, "H2O(l)",        "a", 1571.54,
4000.0,                           0.0, "H2O(l)",        "a", 1447.24,
4000.0,                          10.0, "H2O(l)",        "a", 1492.88,
4000.0,                          20.0, "H2O(l)",        "a", 1528.68,
4000.0,                          30.0, "H2O(l)",        "a", 1556.21,
4000.0,                          40.0, "H2O(l)",        "a", 1576.79,
4000.0,                          50.0, "H2O(l)",        "a", 1591.51,
4000.0,                          60.0, "H2O(l)",        "a", 1601.25,
4000.0,                          70.0, "H2O(l)",        "a", 1606.65,
4000.0,                          80.0, "H2O(l)",        "a", 1608.10,
4000.0,                          90.0, "H2O(l)",        "a", 1605.80,
4000.0,                         100.0, "H2O(l)",        "a", 1599.70,
6000.0,                           0.0, "H2O(l)",        "a", 1470.93,
6000.0,                          10.0, "H2O(l)",        "a", 1516.15,
6000.0,                          20.0, "H2O(l)",        "a", 1551.79,
6000.0,                          30.0, "H2O(l)",        "a", 1579.37,
6000.0,                          40.0, "H2O(l)",        "a", 1600.17,
6000.0,                          50.0, "H2O(l)",        "a", 1615.26,
6000.0,                          60.0, "H2O(l)",        "a", 1625.49,
6000.0,                          70.0, "H2O(l)",        "a", 1631.47,
6000.0,                          80.0, "H2O(l)",        "a", 1633.62,
6000.0,                          90.0, "H2O(l)",        "a", 1632.10,
6000.0,                         100.0, "H2O(l)",        "a", 1626.88,
8000.0,                           0.0, "H2O(l)",        "a", 1495.36,
8000.0,                          10.0, "H2O(l)",        "a", 1539.76,
8000.0,                          20.0, "H2O(l)",        "a", 1574.97,
8000.0,                          30.0, "H2O(l)",        "a", 1602.41,
8000.0,                          40.0, "H2O(l)",        "a", 1623.30,
8000.0,                          50.0, "H2O(l)",        "a", 1638.63,
8000.0,                          60.0, "H2O(l)",        "a", 1649.23,
8000.0,                          70.0, "H2O(l)",        "a", 1655.68,
8000.0,                          80.0, "H2O(l)",        "a", 1658.40,
8000.0,                          90.0, "H2O(l)",        "a", 1657.57,
8000.0,                         100.0, "H2O(l)",        "a", 1653.20,
10000.0,                          0.0, "H2O(l)",        "a", 1520.36,
10000.0,                         10.0, "H2O(l)",        "a", 1563.60,
10000.0,                         20.0, "H2O(l)",        "a", 1598.17,
10000.0,                         30.0, "H2O(l)",        "a", 1625.33,
10000.0,                         40.0, "H2O(l)",        "a", 1646.19,
10000.0,                         50.0, "H2O(l)",        "a", 1661.68,
10000.0,                         60.0, "H2O(l)",        "a", 1672.54,
10000.0,                         70.0, "H2O(l)",        "a", 1679.36,
10000.0,                         80.0, "H2O(l)",        "a", 1682.54,
10000.0,                         90.0, "H2O(l)",        "a", 1682.33,
10000.0,                        100.0, "H2O(l)",        "a", 1678.78,
12000.0,                          0.0, "H2O(l)",        "a", 1545.72,
12000.0,                         10.0, "H2O(l)",        "a", 1587.60,
12000.0,                         20.0, "H2O(l)",        "a", 1621.38,
12000.0,                         30.0, "H2O(l)",        "a", 1648.15,
12000.0,                         40.0, "H2O(l)",        "a", 1668.90,
12000.0,                         50.0, "H2O(l)",        "a", 1684.44,
12000.0,                         60.0, "H2O(l)",        "a", 1695.48,
12000.0,                         70.0, "H2O(l)",        "a", 1702.56,
12000.0,                         80.0, "H2O(l)",        "a", 1706.13,
12000.0,                         90.0, "H2O(l)",        "a", 1706.47,
12000.0,                        100.0, "H2O(l)",        "a", 1703.73,
14000.0,                          0.0, "H2O(l)",        "a", 1571.28,
14000.0,                         10.0, "H2O(l)",        "a", 1611.66,
14000.0,                         20.0, "H2O(l)",        "a", 1644.56,
14000.0,                         30.0, "H2O(l)",        "a", 1670.88,
14000.0,                         40.0, "H2O(l)",        "a", 1691.44,
14000.0,                         50.0, "H2O(l)",        "a", 1706.96,
14000.0,                         60.0, "H2O(l)",        "a", 1718.10,
14000.0,                         70.0, "H2O(l)",        "a", 1725.38,
14000.0,                         80.0, "H2O(l)",        "a", 1729.26,
14000.0,                         90.0, "H2O(l)",        "a", 1730.10,
14000.0,                        100.0, "H2O(l)",        "a", 1728.17,
